,Year,Panel,Category,Proposal,Project,Role,FirstName,Initials,Surname,Gender
874,2010,PCB,STD,10-UOC-019,New metallosupramolecular synthons,PI,Peter,PJ,Steel,M
968,2011,CMP,FS,11-UOO-124,Plastic genomes: does genome structure facilitate phenotypic plasticity?,AI,Peter,PK,Dearden,M
1034,2011,EIS,STD,11-UOW-010,"Negative structures, superposition and penalty parameters for dynamic analysis",AI,Peter,P,Hagedorn,M
1080,2011,ESA,STD,11-VUW-068,Unlocking the secrets of the geodynamo: the SW Pacific key,AI,Peter,PJ,Sheppard,M
1211,2012,CMP,STD,12-UOA-166,How does the heart grow?,PI,Peter,PJ,Hunter,M
1225,2012,EEB,STD,12-LCR-011,Do priority effects explain contrasting lineage diversification on islands?,AI,Peter,PB,Heenan,M
1374,2012,PCB,STD,12-UOA-078,Towards atomic resolution biological imaging using free electron X-ray laser radiation - the granulovirus connection,PI,Peter,P,Metcalf,M
1414,2012,SOC,FS,12-AUT-013,"Inequality and injustice: deliberation, power and the nature of public opinion",PI,Peter,PD,Skilling,M
1746,2013,PCB,FS,13-UOO-104,Bioluminescent microcrystals from the firefly squid,AI,Peter,P,Metcalf,M
1824,2014,CMP,STD,14-UOO-009,Primed for action: bacterial adaptive immunity,PI,Peter,PC,Fineran,M
1856,2014,EEB,STD,14-UOO-260,Use it or lose it: unravelling the genetic basis of flight-loss in New Zealand's alpine insects,AI,Peter,PK,Dearden,M
1996,2014,MIS,STD,14-UOA-155,A question of identity: statistical methods for a new era in wildlife abundance estimation,AI,Peter,PE,Jupp,M
2020,2014,PCB,STD,14-MAU-034,Putting the squeeze on atoms and molecules: accurate quantum simulations of atomic and molecular phases under high pressures and temperatures,PI,Peter,PA,Schwerdtfeger,M
2084,2015,BMS,STD,15-UOO-034,Generating novel biosensors to monitor oxidative stress in the heart,PI,Peter,PP,Jones,M
2099,2015,CMP,STD,15-MAU-148,A chemical cue for fungal-plant symbiosis,AI,Peter,PS,Solomon,M
2103,2015,CMP,STD,15-UOA-105,Probing the protein membrane interface of an oncogenic cell signalling system,AI,Peter,PR,Shepherd,M
2261,2015,HUM,STD,15-MAU-066,New Zealand's civil war,AI,Peter,PN,Meihana,M
2320,2015,PCB,STD,15-VUW-095,Synthetic sulfated saccharides in cell signalling,PI,Peter,PC,Tyler,M
2401,2016,CMP,FS,16-GNS-035,Methanotroph's dirty little secret: they are not metabolically monogamous!,AI,Peter,PF,Dunfield,M
2441,2016,EEB,STD,16-VUW-040,Testing for Fishing-Induced Evolution using DNA from Ancient and Modern Snapper,PI,Peter,PA,Ritchie,M
2464,2016,EHB,STD,16-UOA-239,New Methods of Panel Data Forecasting Applied to New Zealand’s Property Market,PI,Peter,PCB,Phillips,M
2701,2017,BMS,FS,17-UOO-240,Challenging the gene silencing dogma: DNA methylation as a mechanism for gene activation,AI,Peter,PA,Stockwell,M
2722,2017,CMP,STD,17-UOO-050,Uncovering regulatory networks controlling CRISPR-Cas adaptive immunity,PI,Peter,PC,Fineran,M
2753,2017,EEB,STD,17-MAU-044,Improved modelling in evolutionary transcriptomics and proteomics will advance understanding of plant adaptation,PI,Peter,PJ,Lockhart,M
2842,2017,EIS,STD,17-UOC-059,Removing nitrate from contaminated water using methane. Which microbes are doing the work?,PI,Peter,PA,Gostomski,M
2922,2017,ESA,FS,17-NIW-022,Where is the missing CO2? A novel multi-species approach to trace the fate of atmospheric CO2.,PI,Peter,P,Sperlich,M
2956,2017,MIS,STD,17-UOA-096,Noisy networks: understanding how stochasticity affects mathematical models of cognitive systems,AI,Peter,P,Ashwin,M
2985,2017,PCB,STD,17-MAU-021,Going Superheavy - Exploring the Chemistry and Physics of the Heaviest Elements in the Remotest Corner of the Periodic Table,PI,Peter,PA,Schwerdtfeger,M
3040,2017,SOC,STD,17-UOA-323,"Shaping Public Policy: Mixed Methods Study of Alcohol, Tobacco, Gambling and Food Industry Points of Influence with Policy Makers",PI,Peter,PJ,Adams,M
3058,2017,SOC,STD,17-UOO-207,"Eviction and its consequences: representation, discourse and reality",AI,Peter,PJ,Hannam,M
1445,2013,BMS,STD,13-UOO-200,Tying knots in proteins with chlorine bleach: novel post-translational modifications catalysed by mammalian peroxidases,AI,Péter,P,Nagy,M
171,2008,ESA,FS,08-NIW-015,When will the global ozone layer recover? A semi-empirical approach,PI,Petra,PE,Huck,F
885,2010,PCB,STD,10-VUW-123,Rheo-NMR of non-equilibrium transitions in complex fluids,PI,Petrik,P,Galvosas,M
490,2009,ESA,FS,09-UOO-057,Effect of fluids on the strength of the mid-crustal coupling zone on major faults: insights from New Zealand’s Alpine Fault,AI,Phaedra,P,Upton,F
1068,2011,ESA,STD,11-UOO-045,Episodic creep at the brittle-ductile transition during the seismic cycle of great earthquakes,AI,Phaedra,P,Upton,F
1598,2013,ESA,STD,13-GNS-009,Does the southern edge of the Hikurangi Plateau control Otago tectonics?,AI,Phaedra,P,Upton,F
60,2008,EEB,STD,08-CRO-005,Aposematic colouration in plants: 'honest' signals of chemical defences & influences on herbivore fitness,AI,Phil,PJ,Lester,M
75,2008,EEB,STD,08-MAU-099,"Cows, starlings and Campylobacter in New Zealand: unifying phylogeny, genealogy and epidemiology to gain insight into pathogen evolution",AI,Phil,PE,Carter,M
1233,2012,EEB,STD,12-MAU-032,The genetics and epigenetics of bird migration timing,PI,Phil,PF,Battley,M
1512,2013,EEB,STD,13-VUW-037,Using interaction networks to explain invasion success and community dominance: wasps in an old and new world,PI,Phil,PJ,Lester,M
1527,2013,EEB,FS,13-VUW-038,Making a rod for our own backs: do human actions select for traits that promote invasiveness in animals?,AI,Phil,PJ,Lester,M
1927,2014,ESA,STD,14-UOA-040,"Auckland lakes as climate dipsticks: producing unique insights into the nature and drivers of the past 117,000 years of climate change",AI,Phil,PAR,Shane,M
2351,2015,SOC,FS,15-UOW-013,The influence of early-Maori and ahumoana tawhito (ancient aquaculture) on the toheroa of today,PI,Phil,PM,Ross,M
2778,2017,EEB,STD,17-VUW-005,Silencing immunity to determine how pathogens influence invasion success,PI,Phil,PJ,Lester,M
3,2008,BMS,STD,08-UOA-010,Streptococcal Surface DNase (SSD): a novel virulence factor?,AI,Philip,PS,Crosier,M
100,2008,EHB,STD,08-UOW-022,Is understanding innovation the key to explaining economic growth?,PI,Philip,P,McCann,M
112,2008,EHB,STD,08-VDV-001,What is happening in the brain during micro-sleeps?,AI,Philip,PJ,Bones,M
393,2009,EEB,STD,09-UOO-175,Ocean acidification: calcifiers are only the tip of the iceberg,AI,Philip,PW,Boyd,M
682,2010,EEB,STD,10-LIU-019,Testing the dynamic enemy release hypothesis for invasive species,AI,Philip,PE,Hulme,M
1052,2011,ESA,STD,11-MAU-032,Isolated planetary mass objects in the Galaxy: alien worlds between stars,AI,Philip,PCM,Yock,M
1076,2011,ESA,STD,11-UOO-077,From soils to seas: how does the long-term fate of aerosol iron impact on ocean productivity and global climate?,AI,Philip,PW,Boyd,M
1109,2011,HUM,FS,11-MAU-017,"Realism, romance, and the settler colony: literary form, imperial territory and political economy, 1829-1915",PI,Philip,PMC,Steer,M
1311,2012,ESA,STD,12-GNS-029,Sticky or creepy: what causes abrupt changes in seismic behaviour along subduction plate boundaries?,AI,Philip,PM,Barnes,M
1643,2013,ESA,FS,13-GNS-019,Unravelling the magmatic processes responsible for phonolitic volcanism using the Mount Erebus lava lake and magmatic system,AI,Philip,PE,Wannamaker,M
1644,2013,ESA,FS,13-GNS-019,Unravelling the magmatic processes responsible for phonolitic volcanism using the Mount Erebus lava lake and magmatic system,AI,Philip,PR,Kyle,M
1794,2014,BMS,STD,14-UOA-251,Treating cutaneous inflammation by putting skin on a fat-free diet,AI,Philip,PS,Crosier,M
224,2008,PSE,STD,08-UOO-004,"Designer dimetallic spin crossover complexes: developing tuneability, cooperativity and hierarchical organisation",AI,Philipp,P,Gütlich,M
1864,2014,EEB,FS,14-DGF-001,Fast-forward fish: resilience of exploited marine populations to a changing ocean,PI,Philipp,P,Neubauer,M
121,2008,EHB,FS,08-MAU-108,Waking up can be hard to do: unravelling the dynamics of sleep inertia,AI,Philippa,PH,Gander,F
2911,2017,ESA,FS,17-MAU-139,Sea-level is not level: unraveling the drivers of spatial and temporal variations in past sea-level changes around the New Zealand coast,AI,Philippa,PL,Whitehouse,F
3060,2017,SOC,STD,17-UOO-207,"Eviction and its consequences: representation, discourse and reality",PI,Philippa,PLH,Howden-Chapman,F
599,2009,SOC,STD,09-UOO-023,Mothers' darlings: children of indigenous women and World War Two American servicemen in New Zealand and South Pacific societies,AI,Phyllis,PS,Herda,F
2555,2016,HUM,STD,16-UOA-281,Ancient Futures: Late 18th and early 19th century Tongan arts and their legacies,PI,Phyllis,PS,Herda,F
415,2009,EEB,FS,09-UOC-014,Genetic diversity and recombination analysis of geminiviruses in Australasia,AI,Pierre,P,Lefeuvre,M
996,2011,EEB,FS,11-UOC-081,"The importance of cospeciation, host-switching, and geographic isolation in the evolutionary history of a vine and its parasite",PI,Pieter,PB,Pelser,M
2000,2014,MIS,STD,14-UOA-254,Axioms and algorithms for multi-winner elections,AI,Piotr,P,Faliszewski,M
2671,2016,SOC,FS,16-VUW-156,Stretching the celluloid ceiling: women's creative agency in the emergent Pacific film industry.,PI,Polly,PT,Stupples,F
3065,2017,SOC,STD,17-UOW-047,Refugee families in early childhood education: constructing pathways to belonging,AI,Polly,PE,Atatoa Carr,F
611,2009,SOC,STD,09-UOW-072,APAKURA: the Maori way of death,AI,Pou,WT,Temara,M
1028,2011,EIS,STD,11-UOA-199,A cardiac myometer,AI,Poul,PMF,Nielsen,M
1592,2013,EIS,FS,13-UOA-307,Predicting properties of pericardium: from optics to mechanics,AI,Poul,PMF,Nielsen,M
1909,2014,EIS,STD,14-UOA-308,Optical micro-elastography and biomechanics of the lung alveolar tissue,PI,Poul,PMF,Nielsen,M
1424,2012,SOC,FS,12-UOW-093,"He rongo i te reo rauriki, i te reo reiuru: whakatauki and conservation of biodiversity in Aotearoa",AI,Priscilla,PM,Wehi,F
1781,2013,SOC,FS,13-UOO-187,Colonisation impacts and the decoupling of human cultural and ecological systems,PI,Priscilla,PM,Wehi,F
609,2009,SOC,STD,09-UOW-041,Sustainable citizenship: transforming public engagement on new and emerging technologies,PI,Priya,P,Kurian,F
260,2008,SOC,STD,08-UOO-042,Learning to tell life's tales: the development of narrative identity and well-being in adolescence,AI,Qi,Q,Wang,F
2214,2015,ESA,STD,15-GNS-012,Is the Southern Ocean carbon sink sinking? Using records of atmospheric radiocarbon to characterise the response of the Southern Ocean to climate change,AI,Quan,Q,Hua,M
1493,2013,EEB,STD,13-UOA-121,"Tongues, trees and Bayesian inference: towards a global language phylogeny",PI,Quentin,QD,Atkinson,M
2801,2017,EHB,STD,17-UOA-074,Political gaming: using economic games to explore the foundations of political ideology,PI,Quentin,QD,Atkinson,M
1531,2013,EEB,FS,13-VUW-176,The evolution of intelligence: evaluating the heritability and fitness consequences of cognition in wild North Island robins,PI,Rachael,RC,Shaw,F
272,2008,SOC,FS,08-UOW-002,Engaging women and migrants in public policy making,PI,Rachel,R,Simon-Kumar,F
427,2009,EHB,STD,09-UOO-074,Do you remember this? Age-related changes in the effect of verbal reminders,AI,Rachel,R,Barr,F
723,2010,EHB,STD,10-UOO-101,Cross-examination on trial: Facilitating accurate testimony from child witnesses,PI,Rachel,RA,Zajac,F
959,2011,CMP,FS,11-AGR-006,Determining the role of an obligate anaerobe in intestinal barrier function,PI,Rachel,RC,Anderson,F
1997,2014,MIS,STD,14-UOA-155,A question of identity: statistical methods for a new era in wildlife abundance estimation,PI,Rachel,RM,Fewster,F
2006,2014,MIS,FS,14-MAU-025,Automatically deriving the model of digital ink sketches,PI,Rachel,RV,Blagojevic,F
2808,2017,EHB,STD,17-UOO-173,The Secret Life of Traumatic Memories,PI,Rachel,RA,Zajac,F
2964,2017,MIS,STD,17-UOA-295,Cells and whistles: supercharging our biodiversity monitoring toolkit using genetic and acoustic records,PI,Rachel,RM,Fewster,F
1654,2013,ESA,FS,13-GNS-035,Reconstructing complex ground motion effects in Christchurch during the Canterbury earthquakes: what does this mean for future ground motion prediction?,AI,Rafael,RA,Benites,M
1469,2013,CMP,STD,13-UOO-128,Fungal drug resistance: not as simple as A-B-C,AI,Rajendra,R,Prasad,M
217,2008,PSE,STD,08-UOC-080,Controlling the optical near field from afar: absorbance-modulation imaging aided by plasmonic superlenses,AI,Rajesh,R,Menon,M
2108,2015,CMP,STD,15-UOO-030,Shear force dependent regulation of epithelial Na+ channel (ENaC) and its relevance for blood pressure regulation,AI,Rajesh,RG,Katare,M
2693,2017,BMS,STD,17-UOO-241,Unraveling the molecular basis for vivax malaria's unhealthy attraction to human reticulocytes,AI,Rajesh,R,Chandramohanadas,M
2318,2015,PCB,STD,15-VUW-095,Synthetic sulfated saccharides in cell signalling,AI,Ralf,R,Schwoerer,M
907,2010,SOC,STD,10-UOW-020,Playing with reality? Online documentary culture and its users,AI,Ramaswami,R,Harindranath,M
407,2009,EEB,FS,09-UOA-116,Are all individuals created equal? Testing Hubbell's neutral theory,AI,Rampal,RS,Etienne,M
2181,2015,EHB,FS,15-MEP-001,How responsive is migration to financial incentives? Evidence from New Zealand's student support scheme,AI,Ran,R,Abramitzky,M
2471,2016,EHB,STD,16-UOC-079,An Artificial Algebra for Implicit Learning of Mathematical Structure,PI,Randolph,RC,Grace,M
2055,2014,SOC,STD,14-UOW-004,"Te Mauria Whiritoi: the sky as a cultural resource - Maori astronomy, ritual and ecological knowledge",PI,Rangi,R,Matamua,M
2328,2015,SOC,STD,15-GNS-023,Track the black: the whakapapa of paru,PI,Rangi,R,Te Kanawa,M
2652,2016,SOC,STD,16-VUW-177,Ngā Takahuringā ō te ao- The effect of Climate Change on Traditional Māori Calendars,AI,Rangi,R,Matamua,M
83,2008,EEB,STD,08-UOC-024,An unnatural nexus: Do food webs merge at the interface between natural and managed habitats?,AI,Raphael,RK,Didham,M
88,2008,EEB,STD,08-UOC-059,Riches to rags: does elevated productivity drive ecosystem decay in adjacent natural habitats?,PI,Raphael,RK,Didham,M
266,2008,SOC,STD,08-UOO-156,Tirohia He Huarahi: Co-management of environment by indigenous people,AI,Rau,R,Kirikiri,M
1318,2012,ESA,STD,12-VUW-183,Tracing the evolution of radio halos and relics with next generation radio telescopes,AI,Ray,RP,Norris,M
2121,2015,CMP,FS,15-UOO-122,Restriction of gene transfer in pathogenic bacteria by a novel CRISPR-Cas system,PI,Raymond,RHJ,Staals,M
441,2009,ESA,STD,09-GNS-018,Subduction's slippery slope: how fluid flow controls fault behaviour on the subduction interface,AI,Rebecca,RE,Bell,F
634,2010,BMS,STD,10-UOO-011,Primary cilia and the central regulation of fertility,PI,Rebecca,RE,Campbell,F
1660,2013,ESA,FS,13-UOO-189,"Windows onto warmer worlds: sea ice, nutrient utilisation, and primary production on the Wilkes Land margin, Antarctica",AI,Rebecca,RS,Robinson,F
1797,2014,BMS,STD,14-UOO-077,Functional dissection of a novel GABAergic pathway in the brain circuitry controlling fertility,PI,Rebecca,RE,Campbell,F
2529,2016,ESA,STD,16-UOO-134,"Digging into the biggest explosive submarine eruption ever ""seen"" to understand seafloor volcanism",AI,Rebecca,RJ,Carey,F
2678,2017,BMS,STD,17-UOO-043,Defining the brain circuits that interface hunger state with reward signalling to guide food consumption,AI,Rebecca,RE,Campbell,F
2680,2017,BMS,STD,17-UOO-064,Androgen excess and the female brain,PI,Rebecca,RE,Campbell,F
3073,2017,SOC,FS,17-VUW-018,Making Aotearoa Places: The Politics and Practice of Urban Māori Place-making,PI,Rebecca,RF,Kiddle,F
356,2009,EEB,STD,09-AGR-003,How air affects mutation and adaptation - a dissection of the evolutionary process,AI,Rees,R,Kassen,M
1392,2012,SOC,STD,12-MAU-004,Harnessing the power of business: the contested involvement of corporations in community development initiatives in the Pacific,PI,Regina,RA,Scheyvens,F
2629,2016,SOC,STD,16-MAU-113,“The land has eyes and teeth”: customary landowners’ entanglements with economic systems in the Pacific,PI,Regina,RA,Scheyvens,F
2690,2017,BMS,STD,17-UOO-195,NO Heart: A novel mechanism for modulating cardiac calcium by nitric oxide,AI,Regis,RR,Lamberts,M
1992,2014,MIS,STD,14-MAU-101,Geometric numerical integration: new structures and applications,PI,Reinout,GRW,Quispel,M
1494,2013,EEB,STD,13-UOA-121,"Tongues, trees and Bayesian inference: towards a global language phylogeny",PI,Remco,RR,Bouckaert,M
1696,2013,MIS,STD,13-UOA-169,Scaling limits and super-Brownian motion,AI,Remco,R,van der Hofstad,M
888,2010,PCB,FS,10-UOC-062,Mapping the evolution of a key glycolytic enzyme,PI,Renwick,RCJ,Dobson,M
2311,2015,PCB,STD,15-UOC-032,How do bacteria scavenge sialic acids from their human host?,PI,Renwick,RCJ,Dobson,M
2653,2016,SOC,STD,16-VUW-177,Ngā Takahuringā ō te ao- The effect of Climate Change on Traditional Māori Calendars,AI,Rereata,R,Makiha,F
1454,2013,CMP,STD,13-PAF-006,"DAD2, a hormone receptor that hydrolyses its ligand",AI,Revel,RSM,Drummond,M
768,2010,ESA,STD,10-GNS-001,"Bacterial geo-thermometer: A new, precise indicator of climate change",AI,Rewi,RM,Newnham,M
1928,2014,ESA,STD,14-UOA-040,"Auckland lakes as climate dipsticks: producing unique insights into the nature and drivers of the past 117,000 years of climate change",AI,Rewi,RM,Newnham,M
2938,2017,HUM,STD,17-UOA-175,An Ethical Framework for Social Policy Applications of Predictive Analytics,AI,Rhema,R,Vaithianathan,F
1012,2011,EHB,STD,11-UOW-056,The impact of behavioural and environmental change on health: indoor and outdoor pollution and immigrant asthma in New Zealand,AI,Riccardo,R,Scarpa,M
726,2010,EHB,STD,10-UOW-016,Why the world does not look flat to Cyclops and one-eyed pirates: The role of visual motion in human depth perception,PI,Rich,RJ,Krauzlis,M
113,2008,EHB,STD,08-VDV-001,What is happening in the brain during micro-sleeps?,PI,Richard,RD,Jones,M
143,2008,ESA,STD,08-UOA-090,Magma forensics at New Zealand's supervolcanoes,AI,Richard,RJ,Wysoczanski,M
176,2008,HUM,STD,08-UOO-014,Experimental philosophy and the origins of Empiricism,PI,Richard,RW,Serjeantson,M
177,2008,HUM,STD,08-VUW-001,Policing indigenous peoples: a comparative approach to controlling colonies in the nineteenth and twentieth centuries,PI,Richard,RS,Hill,M
206,2008,MIS,FS,08-UOC-034,Aquatic ecosystem dynamics: size or species?,AI,Richard,R,Law,M
218,2008,PSE,STD,08-UOC-080,Controlling the optical near field from afar: absorbance-modulation imaging aided by plasmonic superlenses,PI,Richard,RJ,Blaikie,M
313,2009,CMP,STD,09-AGR-029,Breaking the mould: a novel mechanism of hyphal growth in fungal symbionts of grasses,AI,Richard,RD,Johnson,M
329,2009,CMP,STD,09-PAF-008,Channelling scent: how insects smell using ligand-gated calcium channels,PI,Richard,RD,Newcomb,M
432,2009,EHB,STD,09-UOO-164,"First contact: environmental shifts, faunal collapse and the Polynesian settlement of New Zealand",AI,Richard,RN,Holdaway,M
596,2009,SOC,STD,09-UOA-091,Biological economies: knowing and making new rural value relations,PI,Richard,RB,Le Heron,M
621,2009,SOC,FS,09-UOC-044,"A study of English identity in three British settler societies, circa 1854-1914",PI,Richard,R,Vokes,M
674,2010,CMP,FS,10-AGR-036,Life Partners: How do symbiotic fungi tell plants they want a relationship?,AI,Richard,RC,Gardner,M
684,2010,EEB,STD,10-LIU-019,Testing the dynamic enemy release hypothesis for invasive species,PI,Richard,RP,Duncan,M
741,2010,EIS,STD,10-ESR-001,"Micro-mimics: Mimicking virus removal and transport in groundwater using surface charge-modified, DNA-labelled silica nanobeads",AI,Richard,RD,Tilley,M
762,2010,EIS,FS,10-UOA-083,A novel approach for probing unsteady boundary layer separation,AI,Richard,RE,Hewitt,M
763,2010,EIS,FS,10-UOA-083,A novel approach for probing unsteady boundary layer separation,PI,Richard,RJ,Clarke,M
839,2010,HUM,FS,10-UOA-008,Artificial personality and democratic self-rule,PI,Richard,RE,Ekins,M
875,2010,PCB,STD,10-UOC-019,New metallosupramolecular synthons,PI,Richard,FR,Keene,M
963,2011,CMP,FS,11-LIU-001,Geomagnetic calendars: biological regulation at the planetary level,AI,Richard,RJ,Weld,M
1122,2011,MIS,STD,11-UOC-005,Cell invasion: interactions across scales,AI,Richard,R,Law,M
1176,2011,SOC,STD,11-UOO-134,"Exploring an oxymoron: smoking as an ""informed choice""",PI,Richard,R,Edwards,M
1192,2012,BMS,STD,12-UOA-086,Tracing the footsteps of a viral polymerase,PI,Richard,RL,Kingston,M
1219,2012,CMP,STD,12-UOO-168,Molecular understanding of flowering time regulation in legumes,PI,Richard,RC,Macknight,M
1264,2012,EHB,STD,12-UOO-067,Mind the gap? Worker productivity and pay gaps between similar workers in New Zealand,AI,Richard,RB,Fabling,M
1279,2012,EIS,STD,12-UOO-019,Engineering optical near fields:  principles and techniques for applications in sensing and lithography,PI,Richard,RJ,Blaikie,M
1324,2012,ESA,FS,12-NIW-008,Waves in ice: will an increase in Southern Ocean storms have an impact on Antarctic sea-ice?,AI,Richard,RM,Gorman,M
1328,2012,ESA,FS,12-VUW-111,Will the East Antarctic ice-sheet contribute to global sea-level rise under warmer-world scenarios?,AI,Richard,RH,Levy,M
1337,2012,HUM,STD,12-VUW-155,The tenurial revolution in the Pacific and the Americas,PI,Richard,RP,Boast,M
1359,2012,MIS,STD,12-VUW-069,Cluster analysis for ordinal categorical data,PI,Richard,RA,Arnold,M
1471,2013,CMP,STD,13-UOO-128,Fungal drug resistance: not as simple as A-B-C,PI,Richard,RD,Cannon,M
1541,2013,EHB,STD,13-UOO-181,Maximising success in a new land: the role of Wairau Bar in the systematic colonisation of New Zealand by Polynesians,PI,Richard,RK,Walter,M
1552,2013,EHB,STD,13-VUW-077,How is overgeneral memory related to the development of psychopathology in young people?,AI,Richard,RA,Bryant,M
1610,2013,ESA,STD,13-GNS-016,"New Zealand's stormy past: resolving changes in South Island precipitation under varying influence of tropical and polar forcing over the past 17,000 years",PI,Richard,RH,Levy,M
1669,2013,ESA,FS,13-VUW-175,Improving ice core records: understanding the link between rapid changes of greenhouse gases and temperature,AI,Richard,RB,Alley,M
1678,2013,HUM,STD,13-UOC-082,Selling New China to New Zealand: Rewi Alley and the art of museum diplomacy,PI,Richard,RV,Bullen,M
1790,2014,BMS,STD,14-UOA-121,An insect jumping gene to guide personalised cancer medicine,AI,Richard,RB,Lock,M
1845,2014,EEB,STD,14-UOC-013,Epigenetics and flexible plant memory: how past environmental cues lead to episodic mast flowering,AI,Richard,RC,Macknight,M
1878,2014,EHB,STD,14-UOO-268,Pushed to the limits: investigating the significance of agricultural transfers and innovation in southern Polynesian colonisation,AI,Richard,RJ,Barker,M
1951,2014,ESA,STD,14-VUW-090,Swings and roundabouts? What drives opposing trends in sea ice between the Ross and Amundsen Seas?,AI,Richard,RM,Gorman,M
1976,2014,HUM,STD,14-VUW-122,"Secret world: security intelligence and state surveillance in New Zealand, 1907-2007",PI,Richard,RS,Hill,M
2048,2014,SOC,STD,14-UOO-075,A new politics of peace? Investigations in contemporary pacifism and nonviolence,PI,Richard,RDW,Jackson,M
2129,2015,EEB,STD,15-PAF-007,What was the first smell?,PI,Richard,RD,Newcomb,M
2310,2015,PCB,STD,15-UOC-032,How do bacteria scavenge sialic acids from their human host?,AI,Richard,R,Neutze,M
2389,2016,CMP,STD,16-UOA-251,Spectacles in a bottle: Pharmacological regulation of the physiological optics of the ocular lens,AI,Richard,RT,Mathias,M
2538,2016,ESA,FS,16-UOA-267,Melt inclusions as a 'window' through the crust: What drives the most productive region of silicic volcanism on Earth?,AI,Richard,RJ,Wysoczanski,M
2586,2016,MIS,STD,16-VUW-062,Dimension reduction for mixed type multivariate data,PI,Richard,RA,Arnold,M
2594,2016,MIS,FS,16-UOA-086,Novel Decomposition Techniques for Multiobjective Optimisation,AI,Richard,RM,Lusby,M
2725,2017,CMP,STD,17-UOO-089,Lost in translation: Discovering how plant genes are regulated,PI,Richard,RC,Macknight,M
2752,2017,EEB,STD,17-MAU-044,Improved modelling in evolutionary transcriptomics and proteomics will advance understanding of plant adaptation,AI,Richard,RC,Winkworth,M
2755,2017,EEB,STD,17-MAU-091,Is individual variation relevant to population dynamics?,AI,Richard,RJ,Barker,M
2769,2017,EEB,STD,17-UOO-225,TB or not TB - examining the origin and evolution of tuberculosis in the pre-European Pacific,AI,Richard,RK,Walter,M
2990,2017,PCB,STD,17-UOA-304,Ultralight Dark Matter: Dynamics and Astrophysics,PI,Richard,RJM,Easther,M
842,2010,HUM,FS,10-VUW-166,Transforming Hinduism: religious change in Colonial India,PI,Rick,RW,Weiss,M
1574,2013,EIS,STD,13-UOC-073,Imaging fibrous biomolecules with x-ray free-electron lasers,PI,Rick,RP,Millane,M
2494,2016,EIS,STD,16-UOC-069,New methods for imaging biological macromolecules using x-ray free-electron lasers,PI,Rick,RP,Millane,M
2820,2017,EHB,FS,17-VUW-022,Unpacking Opacity of Mind: How socio-cultural context shapes social cognition when minds are unknowable,PI,Rita,RA,McNamara,F
2076,2015,BMS,STD,15-MIM-001,Mitochondrial DNA transfer to cells with mitochondrial genome damage following bone marrow transplantation,PI,Rob,R,Weinkove,M
2259,2015,ESA,FS,15-UOO-070,The ice is melting: how do trace metals in the ocean influence the Antarctic marine ecosystem and global climate?,PI,Rob,R,Middag,M
2429,2016,EEB,STD,16-UOW-029,Using New Zealand's divaricate plants to test a new hypothesis about the evolution of anti-browsing defences,AI,Rob,RD,Smissen,M
154,2008,ESA,STD,08-UOO-034,Unlocking Early Miocene climate: New Zealand in a warmer world,AI,Robert,RM,DeConto,M
389,2009,EEB,STD,09-UOO-133,Investigating the genetic basis for and adaptive significance of cryptic female choice in an external fertiliser – the chinook salmon (Oncorhynchus tschawytscha),AI,Robert,RD,Montgomerie,M
409,2009,EEB,FS,09-UOA-130,The evolution of animal genitalia: does sexual conflict drive the rapid evolution of complex male structures of moths?,AI,Robert,RJB,Hoare,M
461,2009,ESA,STD,09-VUW-008,How does Antarctica ride the Milankovitch cycle?,AI,Robert,RM,DeConto,M
462,2009,ESA,STD,09-VUW-008,How does Antarctica ride the Milankovitch cycle?,AI,Robert,RM,MacKay,M
503,2009,MIS,STD,09-MAU-044,Geodesics in diffeomorphism groups: geometry and applications,AI,Robert,RI,McLachlan,M
607,2009,SOC,STD,09-UOW-041,Sustainable citizenship: transforming public engagement on new and emerging technologies,AI,Robert,RV,Bartlett,M
642,2010,BMS,STD,10-UOO-098,Multifunctional azoles: A triple whammy designed to defeat drug resistance,AI,Robert,RM,Stroud,M
666,2010,CMP,STD,10-MAU-081,Moving genes in genome structure and memory,AI,Robert,RA,Martienssen,M
687,2010,EEB,STD,10-MAU-062,New robust solutions to the multivariate Behrens-Fisher problem,AI,Robert,KR,Clarke,M
696,2010,EEB,STD,10-UOC-008,Flexible behaviour mediated by modular processing of visual information in jumping spiders,AI,Robert,RR,Jackson,M
832,2010,HUM,STD,10-UOO-064,"Myth, cult and the cosmos: astronomy in ancient Greek religion",PI,Robert,R,Hannah,M
881,2010,PCB,STD,10-UOC-041,A terrestrial measurement of the frame dragging of the rotating Earth,PI,Robert,RB,Hurst,M
984,2011,EEB,STD,11-UOO-021,Network analysis of parasitism within food webs,PI,Robert,R,Poulin,M
1250,2012,EEB,FS,12-UOO-133,How do males adjust their sperm quality in response to social cues?,AI,Robert,RD,Montgomerie,M
1387,2012,PCB,FS,12-UOO-052,Transformation optics: the science of cloaking,PI,Robert,RT,Thompson,M
1398,2012,SOC,STD,12-MEP-001,Testing the validity and robustness of national wellbeing and sustainability measures,AI,Robert,RJ,MacCulloch,M
1436,2013,BMS,STD,13-UOA-131,Improving radiotherapy outcomes: chain release of drugs to kill refractory cancer cells and inhibit metastatic spread,PI,Robert,RF,Anderson,M
